team,wins,win_pct
Mumbai Indians,138,13.73134328358209
Chennai Super Kings,131,13.034825870646765
Kolkata Knight Riders,119,11.840796019900496
Royal Challengers Bangalore,114,11.343283582089553
Rajasthan Royals,101,10.049751243781095
Kings XI Punjab,85,8.45771144278607
Sunrisers Hyderabad,78,7.761194029850746
Delhi Daredevils,67,6.666666666666667
Delhi Capitals,38,3.7810945273631837
Deccan Chargers,29,2.8855721393034823
Gujarat Titans,23,2.288557213930348
Punjab Kings,19,1.8905472636815919
Lucknow Super Giants,17,1.691542288557214
Gujarat Lions,13,1.2935323383084576
Pune Warriors,12,1.1940298507462688
Rising Pune Supergiant,10,0.9950248756218906
Kochi Tuskers Kerala,6,0.5970149253731344
Rising Pune Supergiants,5,0.4975124378109453
